Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
"I_Text","I_TEXT",String,1,R/W,100,,,,,,,,,,"",
"O_16Bit_signed","O_16BIT",Short,1,R/W,100,,,,,,,,,,"",
"O_16Bit_unsigned","O_16BIT",Word,1,R/W,100,,,,,,,,,,"",
"O_32Bit_Float","O_32BIT_FLOAT",Float,1,R/W,100,,,,,,,,,,"",
"O_32Bit_singed","O_32BIT",Long,1,R/W,100,,,,,,,,,,"",
"O_32Bit_unsigned","O_32BIT",DWord,1,R/W,100,,,,,,,,,,"",
"O_8Bit_signed","O_8BIT",Char,1,R/W,100,,,,,,,,,,"",
"O_8Bit_unsigned","O_8BIT",Byte,1,R/W,100,,,,,,,,,,"",
"O_INCR","O_INCR",Long,1,R/W,100,,,,,,,,,,"",
"O_TEXT","O_TEXT",String,1,R/W,100,,,,,,,,,,"",
"O_TIMER.ACC","O_TIMER.ACC",Long,1,R/W,100,,,,,,,,,,"",
"O_TIMER.DN","O_TIMER.DN",Boolean,1,R/W,100,,,,,,,,,,"",
"O_TIMER.EN","O_TIMER.EN",Boolean,1,R/W,100,,,,,,,,,,"",
"O_TIMER.PRE","O_TIMER.PRE",Long,1,R/W,100,,,,,,,,,,"",
"O_TIMER.TT","O_TIMER.TT",Boolean,1,R/W,100,,,,,,,,,,"",
"O_UPDATES.ACC","O_UPDATES.ACC",Long,1,R/W,100,,,,,,,,,,"",
"O_UPDATES.CD","O_UPDATES.CD",Boolean,1,R/W,100,,,,,,,,,,"",
"O_UPDATES.CU","O_UPDATES.CU",Boolean,1,R/W,100,,,,,,,,,,"",
"O_UPDATES.DN","O_UPDATES.DN",Boolean,1,R/W,100,,,,,,,,,,"",
"O_UPDATES.OV","O_UPDATES.OV",Boolean,1,R/W,100,,,,,,,,,,"",
"O_UPDATES.PRE","O_UPDATES.PRE",Long,1,R/W,100,,,,,,,,,,"",
"O_UPDATES.UN","O_UPDATES.UN",Boolean,1,R/W,100,,,,,,,,,,"",
